	CON1	CON2	CON3	CON4	NPT1	NPT2	NPT3	NPT4
Zglp1	8	4	7	2	10	9	8	11
Vmn2r65	0	0	0	0	0	0	0	0
Gm10024	0	0	0	0	0	1	1	0
Oog3	0	0	0	0	3	0	0	1
Ldlrap1	719	854	570	869	1019	813	485	389
Mdn1	1620	2043	1746	2094	2669	2680	2160	1807
Ifi208	0	0	0	0	0	0	0	0
Wfdc17	35	37	215	57	221	270	419	444
Mfap1b	87	215	124	137	187	243	120	103
Tmsb15b2	0	0	0	0	0	0	2	0
Cstdc5	0	0	0	0	0	1	2	0
Gm15114	0	0	0	0	0	0	0	0
A930017K11Rik	0	0	0	2	0	1	0	0
Vmn1r223	0	0	0	0	0	0	0	0
Umad1	190	232	213	260	237	249	152	185
Gm3373	31	36	26	23	121	41	68	56
Dnajc3	3501	4857	4683	4442	6359	6146	4973	4734
Niban3	98	96	70	190	99	60	16	69
Rsph3b	82	112	76	111	130	109	80	87
Rnaset2a	90	133	83	108	148	125	84	131
Fam174b	2633	2954	2592	2991	2664	2362	1622	1886
Spink13	0	1	0	0	0	1	4	2
Apela	2	1	0	4	0	6	1	1
Gm11837	5	5	6	5	7	9	2	11
Ramacl	15	27	23	27	29	32	48	33
Prcd	26	21	23	18	30	40	31	41
Gm10710	0	0	0	0	0	0	0	0
Myocos	0	0	0	0	0	0	0	0
Cep85l	1533	1958	2004	1799	2671	2529	2207	2034
Gm10406	0	2	2	5	4	7	4	4
Cstdc6	0	0	0	0	1	0	0	0
Or10h1b	0	1	0	0	0	0	0	0
Or10h1	0	0	1	0	0	0	1	0
Btnl1	3	1	2	2	1	4	0	2
Isg15	33	81	48	55	86	44	36	60
Pira12	10	16	36	16	42	44	30	23
Defa30	0	0	0	0	0	0	0	0
Vmn2r121	0	0	0	0	0	0	1	1
Sirpb1c	85	135	134	145	121	140	166	159
Mup9	0	0	0	0	1	0	0	0
Gm1979	0	0	0	0	0	0	0	0
Gm1988	0	0	0	1	0	0	0	0
Rps12-ps18	0	0	0	0	0	0	0	0
Gm1993	0	0	0	0	0	0	0	0
Ubl5c	0	0	0	0	0	0	0	0
LOC100038995	0	0	0	0	0	0	0	0
Gm2003	0	0	0	0	0	0	2	1
Mup10	0	0	3	0	0	0	0	0
LOC100039010	0	0	0	0	0	0	0	0
Gm20793	0	0	0	0	0	0	0	0
Mup-ps12	0	0	0	0	0	0	1	1
Mup11	0	1	0	1	0	0	1	0
LOC100039029	0	0	0	0	1	0	1	0
Gm2012	0	0	0	0	0	0	0	0
Gm20795	0	0	0	0	0	0	0	0
Eif1ad3	0	0	0	0	0	0	0	2
Gm10471	0	0	0	0	0	0	1	1
Eif1ad4	0	0	0	0	1	0	0	1
Mup12	0	0	0	0	0	0	0	0
Gm16404	0	0	0	0	0	0	0	1
Gm2026	4	3	2	1	1	3	7	20
Gm2030	0	0	0	0	0	0	0	0
Gm2036	0	0	0	0	0	0	0	0
Gm2042	0	0	1	0	0	0	0	1
Mup13	0	0	0	0	0	0	0	0
Eif1ad5	0	0	0	1	0	0	0	0
Mup14	0	0	1	0	0	0	0	0
Gm14525	0	0	0	0	0	0	0	0
Gm14295	224	321	271	261	260	358	369	404
Ccdc152	185	193	254	232	316	506	386	273
Mup15	0	0	0	0	0	0	0	0
Mup16	0	1	1	0	0	0	0	0
Mup17	0	0	1	0	0	1	0	0
Gm2102	0	0	0	0	0	0	0	0
Ctxnd1	50	52	47	78	44	47	59	45
Gm10058	0	0	0	0	0	0	0	0
Gm12693	53	66	63	67	85	112	54	61
Gm2128	0	0	0	0	0	0	0	0
Gm2137	2	6	5	2	15	1	1	4
Pramel51	0	0	0	0	0	0	0	5
H2ab1	0	0	0	0	0	0	0	0
Gm10147	0	0	0	0	0	0	0	0
Gm16500	2	0	0	0	0	0	0	0
Gm10096	0	0	0	0	0	0	0	0
Gm2237	17	15	16	17	40	40	42	26
Gm2244	0	0	0	0	1	0	0	2
Gm10487	0	0	0	0	0	0	0	0
Gm11810	0	0	0	0	1	0	0	0
Vmn1r186	0	0	0	0	0	0	0	0
Vmn1r187	0	0	0	0	0	0	0	0
Gm10029	1	2	5	0	2	2	1	5
Gm10486	0	0	0	0	0	0	0	0
Tgif2lx2	0	0	0	0	0	0	0	0
Gm20806	0	0	0	0	0	0	0	1
Gm14819	0	0	0	0	0	0	0	0
Gm20807	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	0	0	0	0
Gm20809	0	0	0	0	0	0	0	0
Msmp	0	0	0	0	0	0	0	0
Gm10634	13	11	17	12	8	20	21	16
Zcwpw2	1	3	6	0	7	2	0	3
Mthfsl	126	134	132	132	174	176	119	142
A430060F13Rik	0	0	0	0	0	0	0	3
Gm20815	0	0	0	0	0	0	0	0
Cldn34c6	0	0	0	0	0	0	0	0
Hrct1	43	59	38	54	156	235	126	107
Gm2423	48	67	55	73	46	30	66	51
Gm12407	3	7	4	4	18	15	5	7
Gm2427	0	0	0	0	0	0	0	0
Ildr2	0	0	0	0	0	0	0	0
Tgtp2	183	393	221	270	105	115	59	84
Cldn24	3	2	0	0	9	3	4	2
Gm20816	0	0	0	0	0	0	0	0
Gm2436	1	0	0	0	1	0	0	0
Gm2446	1	0	2	0	0	2	0	0
Gm13306	0	0	0	0	0	0	1	0
Gm15093	0	0	0	0	0	0	0	0
Tex13d	0	0	1	0	0	1	2	3
Rhox2b	0	0	0	0	0	0	0	0
Gm15085	0	0	0	0	0	0	0	0
Siglecl1	0	0	4	2	8	4	2	6
Rhox2c	0	0	0	0	0	0	0	0
Gfy	3	1	1	5	0	0	0	5
Tmem35b	87	125	92	128	120	71	68	68
Rhox2e	0	0	0	0	0	0	0	0
Gmfg-ps	1	8	1	3	5	1	1	1
LOC100040019	53	76	52	88	70	36	32	30
Gm15143	0	0	0	0	0	0	0	0
Gm20822	0	0	0	0	0	0	0	0
Gm20823	0	0	0	0	0	0	0	0
Ccl27b	0	0	0	0	0	0	0	1
Smim38	31	33	13	31	11	13	9	9
Gm20826	0	0	0	0	0	0	0	0
Gm20827	0	0	0	0	0	0	0	0
Gm20828	0	0	0	0	0	0	0	0
Gm10229	0	0	0	0	0	0	0	0
Gm2663	0	0	0	0	0	0	0	1
Gm10228	0	0	0	0	0	0	0	0
Gm20831	0	0	0	0	0	0	0	0
Gm10334	0	0	0	0	0	0	2	0
Gm11563	0	0	0	0	0	0	0	0
Krtap6-3	0	0	0	0	0	0	1	0
Atf1-ps	0	0	0	0	1	0	0	1
Gm20833	0	0	0	0	0	0	0	0
Or13c7c	0	0	0	0	0	0	0	1
Gm11595	0	0	0	0	0	0	0	0
Mindy4b-ps	0	0	0	1	1	7	1	0
Gm15501	9	10	28	15	20	23	25	13
Gm2696	0	0	0	0	0	0	0	0
Gm20836	0	0	0	0	0	0	0	0
Rpl13-ps6	1	1	0	0	2	1	0	1
Gm20842	0	0	0	0	0	0	0	0
Btbd35f19	0	0	0	0	0	0	0	0
Btbd35f26	0	0	0	0	0	0	0	0
Mndal	0	0	0	0	0	0	0	0
Btbd35f2	0	0	0	0	0	0	0	0
Gm2808	13	18	11	19	13	11	8	12
Dynlt1f	105	159	126	145	95	101	88	107
Btbd35f5	0	0	0	0	0	0	0	0
Gm2832	1	0	0	0	0	0	0	5
Dynlt1c	110	85	89	137	106	91	65	77
Gm2854	0	0	0	0	0	0	0	0
Kcnj13	0	0	0	0	0	0	0	0
Potefam3a	0	1	3	2	3	4	1	2
Btbd35f12	0	0	0	0	0	0	0	0
Fancf	40	52	46	49	57	70	36	47
Gm15023	0	2	1	0	0	1	0	0
Gm2888	0	0	0	0	0	0	0	0
Gm2897	0	0	0	0	0	1	0	0
Esd-ps	0	0	0	0	0	0	0	0
Gm10340	0	0	0	0	0	0	0	0
Btbd35f15	0	0	0	0	0	0	0	0
Gm20850	0	0	0	0	0	0	0	0
Gm20851	0	0	0	0	0	0	0	0
Btbd35f13	0	0	0	0	0	0	1	0
Btbd35f14	0	0	0	0	0	0	0	0
Mroh2a	0	0	0	0	0	0	0	0
Gm2959	0	0	0	0	0	0	0	0
Btbd35f6	0	0	0	0	0	0	0	0
Gm20852	0	0	0	0	0	0	0	0
Gm2977	0	0	0	0	0	0	0	0
Cyp4a32	99	108	75	128	300	233	183	148
Gm13040	0	0	0	0	0	0	0	0
Gm13057	0	0	0	0	0	0	0	0
Gm16405	0	0	0	0	0	0	0	0
Gm3005	0	0	1	0	0	2	0	3
Pramel33	0	0	0	0	0	0	0	0
Gm16430	0	0	0	0	0	0	0	0
Gm15142	0	0	0	0	0	0	0	0
Gm20854	0	0	0	0	0	0	0	0
Gm3050	0	0	0	0	0	0	0	0
Cldn34b1	0	0	0	0	0	0	4	2
Gm3055	35	68	68	44	46	31	30	40
Gm10145	2	8	6	12	11	9	12	8
Tceal7	0	0	0	0	0	0	1	0
Pramel36	0	0	0	0	0	0	0	0
Gm3095	0	0	0	0	0	0	0	0
Pramel38	0	0	0	0	0	0	0	0
Gm3115	0	0	0	0	0	0	0	0
LOC100041057	3	0	5	1	1	1	6	6
Gm13286	0	0	0	0	5	4	6	0
Gm3127	0	0	0	0	0	0	0	0
Gm13102	0	0	0	0	0	0	1	0
Iqcf6	0	0	0	1	0	0	1	0
Pramel42	0	0	0	0	0	0	0	0
Gm3141	0	0	0	2	0	0	0	0
Pramel43	0	0	0	0	0	0	0	0
Gm10144	0	1	0	0	1	1	1	3
Gm3159	0	0	0	0	0	0	0	0
Pira13	11	19	19	16	20	23	16	11
Gm3636	35	44	41	69	28	31	25	16
Gm3182	0	0	0	0	0	0	0	0
Gm3183	0	0	0	0	0	0	0	0
Or52e19	0	0	0	0	0	0	0	0
Ahnak2	775	807	552	779	1860	1599	1491	983
Gm20865	0	0	0	0	0	0	0	0
Gm3213	0	0	0	0	0	0	0	0
H4c17	6	1	3	2	1	3	0	0
Gm3233	0	0	0	0	0	0	0	0
Gm16513	0	0	0	0	0	0	0	0
Gm20867	0	0	0	0	0	0	0	0
Gm3238	0	0	0	0	0	0	0	0
Gm3239	0	0	0	0	0	0	2	2
Pramel46	0	0	0	0	0	0	0	0
Ndufb4c	1	4	0	1	3	1	2	5
Gm3248	11	18	10	13	44	28	42	30
Gm3250	0	0	0	0	0	0	0	0
Gm3252	0	1	2	2	1	0	0	1
Gm20868	0	0	0	0	0	0	0	0
Supt4b	2	1	2	2	3	0	3	6
Pramel47	0	0	0	0	0	0	1	1
Gm3264	1	0	0	0	0	1	3	1
Gm3285	0	0	0	0	1	0	0	0
Tcp10c	0	0	0	0	0	0	1	3
Gm3286	0	0	0	0	1	0	0	0
Gm20873	0	0	0	0	0	0	0	0
Cyp3a41b	0	0	0	0	0	0	0	0
Zfp980	1	1	0	1	1	0	4	4
Gm11938	0	0	0	0	0	0	0	3
Gm3325	178	227	286	257	281	237	201	263
Zfp981	4	0	1	5	3	0	1	6
Cyp3a59	0	0	0	0	0	0	0	5
Gm11937	0	0	0	0	0	0	0	0
Gm3376	0	0	0	0	0	0	0	0
Gm3383	1	1	1	1	2	1	1	1
Ly6c2	70	105	101	156	124	103	107	112
Gm3402	0	0	0	0	0	0	0	0
Gm20877	0	0	0	0	0	0	0	0
Gm3404	0	0	0	0	0	0	0	0
Gm3409	0	0	0	0	0	0	0	0
9030025P20Rik	39	47	59	50	66	73	44	42
Gm3415	0	0	0	0	0	0	0	0
Gm20878	1	0	0	0	0	0	0	0
Zkscan16	14	7	3	7	8	10	17	8
Amd2	13	13	14	12	38	29	16	15
Dynlt2a3	0	0	5	0	0	1	0	0
Gal3st2b	0	0	0	0	0	0	0	0
Gm3424	0	0	0	0	0	0	0	0
Gm3435	40	49	42	64	32	37	19	29
Dynlt2a2	0	0	0	0	0	0	0	0
Mup7	1	0	0	0	0	0	0	0
Zfp984	428	526	546	515	464	387	415	567
Gm3500	1	2	1	2	9	0	0	1
Gm3470	45	22	11	17	18	18	18	25
Mup8	0	0	0	0	0	0	0	0
Defa35	0	0	0	0	0	0	0	0
Gm3476	0	0	1	0	0	0	1	0
LOC100041708	14	2	8	5	4	7	3	8
LOC100041712	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
4930522L14Rik	203	285	276	254	242	202	203	268
Gm3488	2	0	0	1	3	1	2	0
Speer4f2	0	0	2	0	1	1	0	2
Defa41	0	0	0	0	0	0	0	0
Gm10413	0	0	0	0	0	0	0	0
Defa40	0	0	0	0	0	0	0	0
LOC100041806	0	0	0	0	0	0	0	0
Defa27	0	0	0	0	0	0	0	2
Gm10408	0	0	0	0	0	0	0	0
Gm3558	2	2	3	1	0	1	0	1
Gm3561	27	34	16	18	15	27	19	20
Defa32	0	0	0	0	0	0	0	0
Defa37	0	0	0	0	0	0	0	0
LOC100041903	0	1	2	0	0	0	0	0
Defa34	0	0	0	0	0	0	0	0
Sap18b	86	106	81	109	155	156	132	100
Lamtor3-ps	0	1	1	3	0	0	1	4
Gm3594	0	0	0	0	0	0	0	0
Gm3604	75	77	86	62	63	59	118	101
Gm20898	0	0	0	0	0	0	0	0
Gm10193	0	0	0	0	0	0	0	0
Gm3629	0	0	0	0	0	0	0	0
Gm3194	0	0	3	0	0	1	1	0
Gm10377	0	0	0	0	0	0	0	0
Gm3650	0	0	1	1	0	2	2	0
Gm3667	4	3	3	3	1	0	2	2
Gm10488	0	0	0	0	0	0	0	0
Gm20903	0	0	0	0	0	0	0	0
Gm3678	0	0	0	0	2	0	0	0
Gm3685	0	0	0	0	0	0	0	0
Gm10376	0	0	0	0	0	0	0	0
Gm14632	0	0	0	0	0	0	0	0
Gm3696	0	2	0	0	2	0	5	1
Nrg2	154	156	121	157	229	201	118	94
Btbd35f16	0	0	0	0	0	0	0	0
Thoc2l	996	1253	1295	1222	1260	1320	1293	1233
Btbd35f3	0	0	0	0	0	0	0	0
Gm10230	0	0	0	0	0	0	0	0
Gm16434	0	0	0	0	0	0	0	0
Gm20906	0	0	0	0	0	0	0	0
Vmn2r130	0	0	0	0	0	0	0	0
Gm3739	1	17	5	4	9	10	10	5
Btbd35f4	0	0	0	0	0	0	0	0
Gm20907	0	0	0	0	0	0	0	0
Btbd35f27	0	0	0	0	0	0	0	1
Gm20908	0	0	0	0	0	0	0	0
Gm3776	0	2	0	0	4	13	33	17
Gm38418	1	3	2	0	1	5	0	0
Gsta5	0	0	2	2	4	3	10	2
Rps15a-ps5	19	14	22	4	19	17	26	15
Gm20910	0	0	0	0	0	0	0	0
Gm10375	0	0	0	0	0	0	0	1
Gm20916	0	0	0	0	0	0	0	0
Gm20917	0	0	0	0	0	0	0	0
Vmn1r79	0	0	0	0	0	0	0	2
Smim17	2	0	0	0	6	1	1	4
Gm3858	0	0	0	0	1	1	0	1
Gm20921	0	0	0	0	0	0	0	0
Nhsl2	1086	1224	958	1304	1308	979	597	556
